股票代码,股票名称
301502,N华阳智
833454,同心传动
301469,恒达新材
300997,欢乐家
000759,中百集团
002400,省广集团
002033,丽江股份
600272,开开实业
600639,浦东金桥
603960,克来机电
000020,深华发Ａ
603682,锦和商管
600446,金证股份
605218,伟时电子
003042,中农联合
603958,哈森股份
603767,中马传动
600551,时代出版
603032,德新科技
001318,阳光乳业
000029,深深房Ａ
603901,永创智能
603909,建发合诚
000678,襄阳轴承
600838,上海九百
000755,山西路桥
002181,粤 传 媒
000972,中基健康
600331,宏达股份
605318,法狮龙
000526,学大教育
873122,中纺标
600119,长江投资
301062,上海艾录
301195,北路智控
430047,诺思兰德
603199,九华旅游
603499,翔港科技
002605,姚记科技
001208,华菱线缆
000014,沙河股份
600683,京投发展
300898,熊猫乳品
600724,宁波富达
000736,中交地产
603230,内蒙新华
837592,华信永道
301285,鸿日达
600961,株冶集团
603130,云中马
605296,神农集团
001212,中旗新材
603603,*ST博天
002801,微光股份
001336,楚环科技
300979,华利集团
600560,金自天正
601882,海天精工
600318,新力金融
003028,振邦智能
301362,民爆光电
603477,巨星农牧
301152,天力锂能
603658,安图生物
002919,名臣健康
600012,皖通高速
002401,中远海科
834599,同力股份
000985,大庆华科
836826,盖世食品
603061,金海通
002232,启明信息
871753,天纺标
601858,中国科传
603558,健盛集团
831526,凯华材料
836221,易实精密
300445,康斯特
600648,外高桥
300710,万隆光电
600692,亚通股份
002214,大立科技
603369,今世缘
000921,海信家电
300353,东土科技
002615,哈尔斯
603268,松发股份
300175,朗源股份
002624,完美世界
001226,拓山重工
002319,乐通股份
300106,西部牧业
836422,润普食品
300138,晨光生物
001266,宏英智能
836720,吉冈精密
839790,联迪信息
600482,中国动力
300022,吉峰科技
301508,中机认检
002377,国创高新
605186,健麾信息
300917,特发服务
300197,节能铁汉
603083,剑桥科技
002590,万安科技
600114,东睦股份
873806,云星宇
002897,意华股份
002797,第一创业
300910,瑞丰新材
002159,三特索道
300037,新宙邦
600636,国新文化
603226,菲林格尔
000039,中集集团
002327,富安娜
002354,天娱数科
301516,中远通
603181,皇马科技
600809,山西汾酒
000975,银泰黄金
601098,中南传媒
300729,乐歌股份
300814,中富电路
600824,益民集团
838670,恒进感应
600306,*ST商城
002840,华统股份
300052,中青宝
688639,华恒生物
300523,辰安科技
600171,上海贝岭
838837,华原股份
000090,天健集团
601136,首创证券
000596,古井贡酒
001269,欧晶科技
000610,西安旅游
688301,奕瑞科技
002690,美亚光电
871478,巨能股份
600600,青岛啤酒
603298,杭叉集团
002837,英维克
000429,粤高速Ａ
002444,巨星科技
688475,萤石网络
601061,中信金属
601728,中国电信
600755,厦门国贸
000157,中联重科
603885,吉祥航空
001872,招商港口
300013,新宁物流
001308,康冠科技
688676,金盘科技
002517,恺英网络
688036,传音控股
688271,联影医疗
600011,华能国际
600848,上海临港
300002,神州泰岳
600325,华发股份
601088,中国神华
002173,创新医疗
000680,山推股份
600612,老凤祥
603922,金鸿顺
600547,山东黄金
301315,威士顿
000888,峨眉山Ａ
000423,东阿阿胶
002561,徐家汇
002326,永太科技
000897,津滨发展
833427,华维设计
688648,中邮科技
601929,吉视传媒
300708,聚灿光电
300573,兴齐眼药
600822,上海物贸
001259,利仁科技
000978,桂林旅游
688253,英诺特
601000,唐山港
001979,招商蛇口
000528,柳    工
600350,山东高速
603863,松炀资源
601009,南京银行
600266,城建发展
603329,上海雅仕
300017,网宿科技
832786,骑士乳业
300315,掌趣科技
600825,新华传媒
002166,莱茵生物
600795,国电电力
300039,上海凯宝
002656,ST摩登
002224,三 力 士
002703,浙江世宝
000797,中国武夷
688500,*ST慧辰
300301,*ST长方
600025,华能水电
000096,广聚能源
601898,中煤能源
600515,海南机场
300498,温氏股份
002100,天康生物
600048,保利发展
600461,洪城环境
300129,泰胜风能
000417,合肥百货
300896,爱美客
600977,中国电影
002758,浙农股份
430510,丰光精密
300124,汇川技术
601288,农业银行
600238,海南椰岛
002043,兔 宝 宝
000983,山西焦煤
600383,金地集团
300364,中文在线
601988,中国银行
601939,建设银行
605499,东鹏饮料
000099,中信海直
301005,超捷股份
600359,新农开发
603779,威龙股份
000721,西安饮食
603466,风语筑
601800,中国交建
002244,滨江集团
600975,新五丰
600897,厦门空港
600941,中国移动
600886,国投电力
300688,创业黑马
605008,长鸿高科
603029,天鹅股份
601226,华电重工
603882,金域医学
601390,中国中铁
603131,上海沪工
688065,凯赛生物
601868,中国能建
688169,石头科技
688198,佰仁医疗
600373,中文传媒
601928,凤凰传媒
603855,华荣股份
000786,北新建材
301035,润丰股份
002320,海峡股份
000651,格力电器
600657,信达地产
600377,宁沪高速
300699,光威复材
600558,大西洋
002028,思源电气
600938,中国海油
605259,绿田机械
605020,永和股份
300389,艾比森
000690,宝新能源
688087,英科再生
601328,交通银行
002761,浙江建投
600019,宝钢股份
003816,中国广核
000708,中信特钢
601100,恒立液压
603270,金帝股份
600754,锦江酒店
688398,赛特新材
600016,民生银行
601595,上海电影
300783,三只松鼠
601916,浙商银行
600177,雅戈尔
688617,惠泰医疗
601696,中银证券
601985,中国核电
300833,浩洋股份
002835,同为股份
600873,梅花生物
603939,益丰药房
603288,海天味业
002099,海翔药业
600028,中国石化
300740,水羊股份
000999,华润三九
002372,伟星新材
300394,天孚通信
600033,福建高速
300531,优博讯
601818,光大银行
603195,公牛集团
601339,百隆东方
836270,天铭科技
601669,中国电建
601668,中国建筑
601169,北京银行
600962,国投中鲁
600000,浦发银行
601398,工商银行
835892,中科美菱
600900,长江电力
601666,平煤股份
000002,万  科Ａ
603356,华菱精工
600150,中国船舶
300199,翰宇药业
000006,深振业Ａ
601225,陕西煤业
601628,中国人寿
600660,福耀玻璃
601989,中国重工
601500,通用股份
601699,潞安环能
002032,苏 泊 尔
301220,亚香股份
603198,迎驾贡酒
601298,青岛港
301308,江波龙
600749,西藏旅游
600706,曲江文旅
300492,华图山鼎
300832,新产业
002047,宝鹰股份
603722,阿科力
688569,铁科轨道
600039,四川路桥
600872,中炬高新
600123,兰花科创
601766,中国中车
600598,北大荒
300200,高盟新材
002714,牧原股份
002707,众信旅游
689009,九号公司-WD
688099,晶晨股份
001219,青岛食品
603156,养元饮品
002463,沪电股份
600104,上汽集团
603027,千禾味业
300373,扬杰科技
688267,中触媒
600674,川投能源
600863,内蒙华电
688050,爱博医疗
002543,万和电气
603277,银都股份
601077,渝农商行
002059,云南旅游
601658,邮储银行
600153,建发股份
300068,南都电源
000932,华菱钢铁
600018,上港集团
605368,蓝天燃气
600188,兖矿能源
600985,淮北矿业
000048,京基智农
002881,美格智能
601127,赛力斯
603717,天域生态
002726,龙大美食
601111,中国国航
300056,中创环保
600642,申能股份
600919,江苏银行
601186,中国铁建
000011,深物业A
001965,招商公路
688120,华海清科
300502,新易盛
603136,天目湖
002595,豪迈科技
688399,硕世生物
603899,晨光股份
603255,鼎际得
300624,万兴科技
870656,N海昇
688709,成都华微
688584,上海合晶
688555,退市泽达
688550,瑞联新材
688289,圣湘生物
688150,莱特光电
688147,微导纳米
688086,退市紫晶
603996,退市中新
603361,浙江国祥
603341,龙旗科技
603157,退市拉夏
603077,和邦生物
601618,中国中冶
601558,退市锐电
601299,中国北车
601268,*ST二重
601258,*ST庞大
601166,兴业银行
601155,新城控股
601006,大秦铁路
600991,广汽长丰
600978,*ST宜生
600905,三峡能源
600899,*ST信联
600896,退市海医
600891,退市秋林
600890,退市中房
600887,伊利股份
600878,*ST北科
600870,退市厦华
600856,退市中天
600852,*ST中川
600849,上药转换
600842,中西药业
600840,新湖创业
600832,东方明珠
600823,ST世茂
600813,ST鞍一工
600806,退市昆机
600799,*ST龙科
600788,*ST达曼
600786,东方锅炉
600781,退市辅仁
600772,S*ST龙昌
600767,退市运盛
600762,S*ST金荔
600752,*ST哈慈
600747,退市大控
600729,重庆百货
600723,首商股份
600709,ST生态
600701,退市工新
600700,*ST数码
600695,退市绿庭
600687,退市刚泰
600680,*ST上普
600677,*ST航通
600672,*ST华圣
600670,*ST斯达
600669,*ST鞍成
600659,*ST花雕
600656,退市博元
600652,退市游久
600646,ST国嘉
600634,退市富控
600632,华联商厦
600631,百联股份
600628,新世界
600627,上电股份
600625,PT水仙
600614,退市鹏起
600607,上实医药
600591,*ST上航
600555,退市海创
600553,太行水泥
600532,退市未来
600485,*ST信威
600472,包头铝业
600466,*ST蓝光
600432,退市吉恩
600401,退市海润
600393,ST粤泰
600385,退市金泰
600357,承德钒钛
600317,营口港
600311,*ST荣华
600296,S兰铝
600291,退市西水
600290,*ST华仪
600286,S*ST国瓷
600275,退市昌鱼
600270,外运发展
600263,路桥建设
600260,*ST凯乐
600253,天方药业
600247,*ST成城
